Sheath MFC,Sheath Pressure,Pneum. Atomizer MFC,Pneum. Atomizer Press.,Pneum. Impactor Exhaust MFC,Pneum. Impactor Exhaust Press.,Platen Heater,Ink,Ink_temp,Substrate,Print_speed,SPC,Viscosity,Surface Tension,Density,Line,Output
9.282,0.201,620.42,3.626,592.086,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.047,1
9.282,0.411,650.708,4.388,592.086,0.0,70.8,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.06,1
9.282,0.411,650.708,4.374,593.063,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.06,1
9.282,0.41,649.731,4.374,593.063,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.06,1
9.282,0.21,671.226,4.212,641.915,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.051,1
9.282,0.21,671.226,4.198,642.892,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.051,1
9.282,0.418,701.514,4.996,641.915,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.06,1
9.282,0.416,701.514,4.996,642.892,0.0,70.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.06,1
9.282,0.204,721.055,4.85,692.721,0.0,70.2,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.053,1
9.184,0.203,721.055,4.85,691.744,0.0,70.8,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.053,1
9.282,0.203,721.055,4.821,691.744,0.0,70.2,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.053,1
9.282,0.421,751.343,5.707,692.721,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.42,752.32,5.707,691.744,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.42,751.343,5.692,691.744,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.421,752.32,5.692,692.721,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.201,770.884,5.568,743.527,0.0,69.8,Tungsten,30.7,LTCC,1,60.0,275,29.0,2.4,0.053,1
9.282,0.198,770.884,5.568,744.504,0.0,70.2,Tungsten,30.7,LTCC,1,60.0,275,29.0,2.4,0.053,1
9.282,0.396,800.195,6.63,744.504,0.0,70.2,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.397,800.195,6.564,742.55,0.0,70.2,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.393,801.172,6.571,744.504,0.0,70.2,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.393,800.195,6.52,743.527,0.0,70.2,Tungsten,30.6,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.178,819.736,6.652,794.333,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.064,1
9.282,0.178,819.736,6.667,795.31,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.064,1
9.282,0.177,818.759,6.667,795.31,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.064,1
9.282,0.178,819.736,6.674,793.356,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.064,1
9.184,0.182,818.759,6.703,795.31,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.064,1
9.184,0.179,819.736,6.689,794.333,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.064,1
9.282,0.397,800.195,6.623,743.527,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.184,0.393,800.195,6.623,743.527,0.0,70.5,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.067,1
9.282,0.173,868.588,7.253,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.075,1
9.282,0.176,868.588,7.231,845.139,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.075,1
9.184,0.177,868.588,7.231,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.075,1
9.184,0.182,868.588,7.128,845.139,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.075,1
9.282,0.377,898.876,7.429,844.162,0.0,70.5,Tungsten,30.1,LTCC,1,60.0,275,29.0,2.4,0.076,1
9.282,0.377,899.853,7.465,845.139,0.0,70.5,Tungsten,30.1,LTCC,1,60.0,275,29.0,2.4,0.076,1
9.282,0.377,899.853,7.451,844.162,0.0,70.5,Tungsten,30.1,LTCC,1,60.0,275,29.0,2.4,0.076,1
9.184,0.377,898.876,7.473,844.162,0.0,70.5,Tungsten,30.1,LTCC,1,60.0,275,29.0,2.4,0.076,1
9.282,0.173,919.394,7.377,894.968,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.172,918.417,7.377,894.968,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.172,919.394,7.392,893.991,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.17,918.417,7.377,893.991,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.178,919.394,7.392,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
8.793,0.19,949.682,7.451,845.139,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.205,970.2,7.663,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.239,970.2,7.919,845.139,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
10.259,0.536,885.198,8.22,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.086,0.536,868.588,7.861,844.162,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.531,868.588,7.604,845.139,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.513,868.588,7.289,844.162,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.302,868.588,6.813,844.162,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.192,869.565,6.681,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.868,0.129,26.38,3.934,844.162,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.0,1.954,0.066,397.655,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.0,6.839,0.0,5.862,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
2.052,0.001,8.793,0.0,17.587,0.0,70.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
